chang_date,code,in_out
2013/9/18,527,dropout
2013/9/18,333,takein
2013/12/16,603000,takein
2013/12/16,601231,takein
2013/12/16,600705,takein
2013/12/16,600688,takein
2013/12/16,600663,takein
2013/12/16,600648,takein
2013/12/16,600597,takein
2013/12/16,600079,takein
2013/12/16,600018,takein
2013/12/16,600008,takein
2013/12/16,2653,takein
2013/12/16,2456,takein
2013/12/16,2230,takein
2013/12/16,2129,takein
2013/12/16,2065,takein
2013/12/16,831,takein
2013/12/16,826,takein
2013/12/16,793,takein
2013/12/16,598,takein
2013/12/16,536,takein
2013/12/16,400,takein
2013/12/16,601788,dropout
2013/12/16,600881,dropout
2013/12/16,600779,dropout
2013/12/16,600550,dropout
2013/12/16,600508,dropout
2013/12/16,600432,dropout
2013/12/16,600169,dropout
2013/12/16,600132,dropout
2013/12/16,600125,dropout
2013/12/16,600005,dropout
2013/12/16,2378,dropout
2013/12/16,2128,dropout
2013/12/16,2092,dropout
2013/12/16,969,dropout
2013/12/16,883,dropout
2013/12/16,807,dropout
2013/12/16,780,dropout
2013/12/16,539,dropout
2013/12/16,422,dropout
2013/12/16,59,dropout
2013/12/16,27,dropout
2014/6/16,46,dropout
2014/6/16,528,dropout
2014/6/16,596,dropout
2014/6/16,703,dropout
2014/6/16,933,dropout
2014/6/16,2069,dropout
2014/6/16,2155,dropout
2014/6/16,2299,dropout
2014/6/16,2431,dropout
2014/6/16,600160,dropout
2014/6/16,600266,dropout
2014/6/16,600528,dropout
2014/6/16,600582,dropout
2014/6/16,600598,dropout
2014/6/16,600694,dropout
2014/6/16,600811,dropout
2014/6/16,600859,dropout
2014/6/16,600970,dropout
2014/6/16,600971,dropout
2014/6/16,600997,dropout
2014/6/16,601001,dropout
2014/6/16,601099,dropout
2014/6/16,601101,dropout
2014/6/16,601106,dropout
2014/6/16,601369,dropout
2014/6/16,601717,dropout
2014/6/16,27,takein
2014/6/16,413,takein
2014/6/16,503,takein
2014/6/16,883,takein
2014/6/16,917,takein
2014/6/16,2008,takein
2014/6/16,2252,takein
2014/6/16,2292,takein
2014/6/16,2400,takein
2014/6/16,2410,takein
2014/6/16,2416,takein
2014/6/16,2429,takein
2014/6/16,2465,takein
2014/6/16,2470,takein
2014/6/16,2475,takein
2014/6/16,600023,takein
2014/6/16,600277,takein
2014/6/16,600633,takein
2014/6/16,600867,takein
2014/6/16,600880,takein
2014/6/16,600998,takein
2014/6/16,601179,takein
2014/6/16,601216,takein
2014/6/16,601225,takein
2014/6/16,601929,takein
2014/6/16,603699,takein
2014/12/15,12,dropout
2014/12/15,656,dropout
2014/12/15,718,dropout
2014/12/15,758,dropout
2014/12/15,961,dropout
2014/12/15,2106,dropout
2014/12/15,2269,dropout
2014/12/15,600062,dropout
2014/12/15,600096,dropout
2014/12/15,600123,dropout
2014/12/15,600216,dropout
2014/12/15,600219,dropout
2014/12/15,600259,dropout
2014/12/15,600376,dropout
2014/12/15,600403,dropout
2014/12/15,600546,dropout
2014/12/15,600895,dropout
2014/12/15,601139,dropout
2014/12/15,601238,dropout
2014/12/15,601666,dropout
2014/12/15,601918,dropout
2014/12/15,601991,dropout
2014/12/15,603288,takein
2014/12/15,601727,takein
2014/12/15,600578,takein
2014/12/15,600570,takein
2014/12/15,600485,takein
2014/12/15,600398,takein
2014/12/15,600373,takein
2014/12/15,600038,takein
2014/12/15,300251,takein
2014/12/15,300146,takein
2014/12/15,300133,takein
2014/12/15,300124,takein
2014/12/15,300070,takein
2014/12/15,300058,takein
2014/12/15,300027,takein
2014/12/15,300024,takein
2014/12/15,300017,takein
2014/12/15,300015,takein
2014/12/15,2153,takein
2014/12/15,898,takein
2014/12/15,825,takein
2014/12/15,559,takein
2015/1/26,562,dropout
2015/1/26,166,takein
2015/5/21,601299,dropout
2015/5/21,600832,dropout
2015/5/21,300003,takein
2015/5/21,738,takein
2015/6/15,401,dropout
2015/6/15,536,dropout
2015/6/15,869,dropout
2015/6/15,2400,dropout
2015/6/15,2416,dropout
2015/6/15,2429,dropout
2015/6/15,2603,dropout
2015/6/15,600058,dropout
2015/6/15,600079,dropout
2015/6/15,600143,dropout
2015/6/15,600267,dropout
2015/6/15,600395,dropout
2015/6/15,600436,dropout
2015/6/15,600498,dropout
2015/6/15,600655,dropout
2015/6/15,600664,dropout
2015/6/15,600880,dropout
2015/6/15,603699,dropout
2015/6/15,46,takein
2015/6/15,539,takein
2015/6/15,712,takein
2015/6/15,2736,takein
2015/6/15,300002,takein
2015/6/15,300059,takein
2015/6/15,300104,takein
2015/6/15,600005,takein
2015/6/15,600317,takein
2015/6/15,600717,takein
2015/6/15,600958,takein
2015/6/15,601021,takein
2015/6/15,601099,takein
2015/6/15,601106,takein
2015/6/15,601788,takein
2015/6/15,601919,takein
2015/6/15,601969,takein
2015/6/15,601991,takein
2015/12/14,839,dropout
2015/12/14,878,dropout
2015/12/14,960,dropout
2015/12/14,970,dropout
2015/12/14,2001,dropout
2015/12/14,2051,dropout
2015/12/14,2310,dropout
2015/12/14,2344,dropout
2015/12/14,2570,dropout
2015/12/14,2653,dropout
2015/12/14,600108,dropout
2015/12/14,600277,dropout
2015/12/14,600316,dropout
2015/12/14,600348,dropout
2015/12/14,600497,dropout
2015/12/14,600516,dropout
2015/12/14,600597,dropout
2015/12/14,600809,dropout
2015/12/14,601168,dropout
2015/12/14,601929,dropout
2015/12/14,415,takein
2015/12/14,540,takein
2015/12/14,2195,takein
2015/12/14,2739,takein
2015/12/14,300144,takein
2015/12/14,300315,takein
2015/12/14,600021,takein
2015/12/14,600350,takein
2015/12/14,600820,takein
2015/12/14,600895,takein
2015/12/14,600959,takein
2015/12/14,601016,takein
2015/12/14,601198,takein
2015/12/14,601211,takein
2015/12/14,601238,takein
2015/12/14,601608,takein
2015/12/14,601718,takein
2015/12/14,601872,takein
2015/12/14,601985,takein
2015/12/14,603885,takein
2015/12/30,24,dropout
2015/12/30,1979,takein
2016/6/13,400,dropout
2016/6/13,581,dropout
2016/6/13,598,dropout
2016/6/13,629,dropout
2016/6/13,831,dropout
2016/6/13,937,dropout
2016/6/13,983,dropout
2016/6/13,2038,dropout
2016/6/13,2353,dropout
2016/6/13,2375,dropout
2016/6/13,2410,dropout
2016/6/13,600166,dropout
2016/6/13,600315,dropout
2016/6/13,600350,dropout
2016/6/13,600549,dropout
2016/6/13,600633,dropout
2016/6/13,600717,dropout
2016/6/13,601158,dropout
2016/6/13,601231,dropout
2016/6/13,601238,dropout
2016/6/13,601699,dropout
2016/6/13,601969,dropout
2016/6/13,603288,dropout
