chang_date,code,in_out
2013/12/16,601965,takein
2013/12/16,601718,takein
2013/12/16,601566,takein
2013/12/16,600894,takein
2013/12/16,600885,takein
2013/12/16,600881,takein
2013/12/16,600754,takein
2013/12/16,600699,takein
2013/12/16,600640,takein
2013/12/16,600587,takein
2013/12/16,600508,takein
2013/12/16,600392,takein
2013/12/16,600320,takein
2013/12/16,600300,takein
2013/12/16,600280,takein
2013/12/16,603000,dropout
2013/12/16,601886,dropout
2013/12/16,601677,dropout
2013/12/16,600867,dropout
2013/12/16,600648,dropout
2013/12/16,600641,dropout
2013/12/16,600633,dropout
2013/12/16,600622,dropout
2013/12/16,600590,dropout
2013/12/16,600578,dropout
2013/12/16,600501,dropout
2013/12/16,600330,dropout
2013/12/16,600326,dropout
2013/12/16,600295,dropout
2013/12/16,600246,dropout
2013/12/16,600231,dropout
2013/12/16,600227,dropout
2013/12/16,600103,dropout
2013/12/16,600072,dropout
2013/12/16,600008,dropout
2013/12/16,2585,dropout
2013/12/16,2475,dropout
2013/12/16,2456,dropout
2013/12/16,2449,dropout
2013/12/16,2326,dropout
2013/12/16,2287,dropout
2013/12/16,2230,dropout
2013/12/16,2218,dropout
2013/12/16,2129,dropout
2013/12/16,2121,dropout
2013/12/16,2006,dropout
2013/12/16,959,dropout
2013/12/16,932,dropout
2013/12/16,918,dropout
2013/12/16,917,dropout
2013/12/16,912,dropout
2013/12/16,903,dropout
2013/12/16,828,dropout
2013/12/16,793,dropout
2013/12/16,713,dropout
2013/12/16,708,dropout
2013/12/16,698,dropout
2013/12/16,661,dropout
2013/12/16,659,dropout
2013/12/16,601,dropout
2013/12/16,598,dropout
2013/12/16,503,dropout
2013/12/16,410,dropout
2013/12/16,400,dropout
2013/12/16,159,dropout
2013/12/16,600199,takein
2013/12/16,600132,takein
2013/12/16,600125,takein
2013/12/16,600120,takein
2013/12/16,2690,takein
2013/12/16,2646,takein
2013/12/16,2588,takein
2013/12/16,2572,takein
2013/12/16,2508,takein
2013/12/16,2493,takein
2013/12/16,2416,takein
2013/12/16,2400,takein
2013/12/16,2378,takein
2013/12/16,2371,takein
2013/12/16,2368,takein
2013/12/16,2271,takein
2013/12/16,2266,takein
2013/12/16,2251,takein
2013/12/16,2221,takein
2013/12/16,2153,takein
2013/12/16,2092,takein
2013/12/16,977,takein
2013/12/16,969,takein
2013/12/16,921,takein
2013/12/16,799,takein
2013/12/16,788,takein
2013/12/16,780,takein
2013/12/16,688,takein
2013/12/16,669,takein
2013/12/16,552,takein
2013/12/16,422,takein
2013/12/16,413,takein
2013/12/16,409,takein
2013/12/16,49,takein
2013/12/16,30,takein
2014/6/16,2400,dropout
2014/6/16,2416,dropout
2014/6/16,2493,dropout
2014/6/16,413,dropout
2014/6/16,600841,dropout
2014/6/16,601216,dropout
2014/6/16,601588,dropout
2014/6/16,601929,dropout
2014/6/16,2167,dropout
2014/6/16,600277,dropout
2014/6/16,600595,dropout
2014/6/16,738,dropout
2014/6/16,2465,dropout
2014/6/16,600117,dropout
2014/6/16,600308,dropout
2014/6/16,2292,dropout
2014/6/16,2306,dropout
2014/6/16,2638,dropout
2014/6/16,600470,dropout
2014/6/16,2410,dropout
2014/6/16,2429,dropout
2014/6/16,600223,dropout
2014/6/16,600236,dropout
2014/6/16,517,dropout
2014/6/16,600880,dropout
2014/6/16,2252,dropout
2014/6/16,600499,dropout
2014/6/16,600581,dropout
2014/6/16,600829,dropout
2014/6/16,608,dropout
2014/6/16,683,dropout
2014/6/16,600269,dropout
2014/6/16,600373,dropout
2014/6/16,2470,dropout
2014/6/16,2283,dropout
2014/6/16,600717,dropout
2014/6/16,2008,dropout
2014/6/16,600063,dropout
2014/6/16,600069,dropout
2014/6/16,600106,dropout
2014/6/16,600408,dropout
2014/6/16,600121,dropout
2014/6/16,600469,dropout
2014/6/16,600531,dropout
2014/6/16,600533,dropout
2014/6/16,600594,dropout
2014/6/16,600388,dropout
2014/6/16,600589,dropout
2014/6/16,42,dropout
2014/6/16,822,dropout
2014/6/16,2069,takein
2014/6/16,2052,takein
2014/6/16,2032,takein
2014/6/16,2018,takein
2014/6/16,933,takein
2014/6/16,703,takein
2014/6/16,693,takein
2014/6/16,596,takein
2014/6/16,528,takein
2014/6/16,603555,takein
2014/6/16,601886,takein
2014/6/16,601717,takein
2014/6/16,601369,takein
2014/6/16,601101,takein
2014/6/16,601099,takein
2014/6/16,601012,takein
2014/6/16,600997,takein
2014/6/16,600971,takein
2014/6/16,600970,takein
2014/6/16,600967,takein
2014/6/16,600859,takein
2014/6/16,600823,takein
2014/6/16,600811,takein
2014/6/16,600803,takein
2014/6/16,600694,takein
2014/6/16,600582,takein
2014/6/16,600566,takein
2014/6/16,600536,takein
2014/6/16,600528,takein
2014/6/16,600432,takein
2014/6/16,600398,takein
2014/6/16,600389,takein
2014/6/16,600266,takein
2014/6/16,600201,takein
2014/6/16,600187,takein
2014/6/16,600175,takein
2014/6/16,600169,takein
2014/6/16,600160,takein
2014/6/16,2714,takein
2014/6/16,2705,takein
2014/6/16,2595,takein
2014/6/16,2551,takein
2014/6/16,2431,takein
2014/6/16,2358,takein
2014/6/16,2311,takein
2014/6/16,2244,takein
2014/6/16,2242,takein
2014/6/16,2204,takein
2014/6/16,2155,takein
2014/6/16,2128,takein
2014/12/15,600499,takein
2014/12/15,600546,takein
2014/12/15,600895,takein
2014/12/15,601001,takein
2014/12/15,601666,takein
2014/12/15,601872,takein
2014/12/15,603005,takein
2014/12/15,603328,takein
2014/12/15,603369,takein
2014/12/15,12,takein
2014/12/15,62,takein
2014/12/15,519,takein
2014/12/15,555,takein
2014/12/15,656,takein
2014/12/15,661,takein
2014/12/15,681,takein
2014/12/15,718,takein
2014/12/15,748,takein
2014/12/15,758,takein
2014/12/15,959,takein
2014/12/15,961,takein
2014/12/15,2030,takein
2014/12/15,2106,takein
2014/12/15,2174,takein
2014/12/15,2240,takein
2014/12/15,2269,takein
2014/12/15,2299,takein
2014/12/15,2390,takein
2014/12/15,2505,takein
2014/12/15,2665,takein
2014/12/15,2727,takein
2014/12/15,300039,takein
2014/12/15,300059,takein
2014/12/15,300088,takein
2014/12/15,300115,takein
2014/12/15,300134,takein
2014/12/15,300144,takein
2014/12/15,300147,takein
2014/12/15,300168,takein
2014/12/15,300202,takein
2014/12/15,300253,takein
2014/12/15,300273,takein
2014/12/15,600062,takein
2014/12/15,600098,takein
2014/12/15,600216,takein
2014/12/15,600219,takein
2014/12/15,600259,takein
2014/12/15,600317,takein
2014/12/15,600376,takein
2014/12/15,600433,takein
2014/12/15,409,dropout
2014/12/15,518,dropout
2014/12/15,559,dropout
2014/12/15,627,dropout
2014/12/15,655,dropout
2014/12/15,759,dropout
2014/12/15,799,dropout
2014/12/15,935,dropout
2014/12/15,987,dropout
2014/12/15,2032,dropout
2014/12/15,2049,dropout
2014/12/15,2075,dropout
2014/12/15,2152,dropout
2014/12/15,2153,dropout
2014/12/15,2154,dropout
2014/12/15,2190,dropout
2014/12/15,2262,dropout
2014/12/15,2305,dropout
2014/12/15,2378,dropout
2014/12/15,2447,dropout
2014/12/15,2534,dropout
2014/12/15,2572,dropout
2014/12/15,2601,dropout
2014/12/15,600038,dropout
2014/12/15,600054,dropout
2014/12/15,600094,dropout
2014/12/15,600139,dropout
2014/12/15,601636,dropout
2014/12/15,600268,dropout
2014/12/15,600311,dropout
2014/12/15,600322,dropout
2014/12/15,600398,dropout
2014/12/15,600449,dropout
2014/12/15,600479,dropout
2014/12/15,600491,dropout
2014/12/15,600500,dropout
2014/12/15,600503,dropout
2014/12/15,600508,dropout
2014/12/15,600566,dropout
2014/12/15,600570,dropout
2014/12/15,600683,dropout
2014/12/15,600723,dropout
2014/12/15,600724,dropout
2014/12/15,600815,dropout
2014/12/15,600858,dropout
2014/12/15,600888,dropout
2014/12/15,600963,dropout
2014/12/15,601100,dropout
2014/12/15,601339,dropout
2014/12/15,601616,dropout
2015/6/15,600467,dropout
2015/6/15,600490,dropout
2015/6/15,600582,dropout
2015/6/15,600612,dropout
2015/6/15,600616,dropout
2015/6/15,600740,dropout
2015/6/15,600820,dropout
2015/6/15,600830,dropout
2015/6/15,600844,dropout
2015/6/15,601011,dropout
2015/6/15,601099,dropout
2015/6/15,601388,dropout
2015/6/15,601519,dropout
2015/6/15,601566,dropout
2015/6/15,601872,dropout
2015/6/15,50,dropout
2015/6/15,506,dropout
2015/6/15,510,dropout
2015/6/15,555,dropout
2015/6/15,712,dropout
2015/6/15,809,dropout
2015/6/15,886,dropout
2015/6/15,927,dropout
2015/6/15,959,dropout
2015/6/15,977,dropout
2015/6/15,982,dropout
2015/6/15,2052,dropout
2015/6/15,2083,dropout
2015/6/15,2123,dropout
2015/6/15,2226,dropout
2015/6/15,2320,dropout
2015/6/15,2498,dropout
2015/6/15,2505,dropout
2015/6/15,2612,dropout
2015/6/15,2690,dropout
