code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI
sh.600000,2013-04-27,2013-03-31,0.189692,0.215097,0.128467,0.127660,0.127819
sh.600000,2013-08-14,2013-06-30,0.152278,0.142275,0.129503,0.130435,0.127552
sh.600000,2013-10-31,2013-09-30,0.153423,0.143772,0.143521,0.141328,0.141315
sh.600000,2014-03-20,2013-12-31,0.151428,0.169888,0.200781,0.196721,0.197040
sh.600000,2014-04-30,2014-03-31,0.159761,0.097591,0.207463,0.203354,0.202965
sh.600000,2014-08-14,2014-06-30,0.169295,0.133136,0.172546,0.169394,0.168678
sh.600000,2014-10-31,2014-09-30,0.181920,0.100920,0.171999,0.166979,0.167047
sh.600000,2015-03-19,2014-12-31,0.272998,0.140158,0.149515,0.149043,0.149162
sh.600000,2015-04-30,2015-03-31,0.317468,0.137637,0.046355,0.045296,0.045191
sh.600000,2015-08-20,2015-06-30,0.308659,0.171370,0.055058,0.054321,0.055041
sh.600000,2015-10-30,2015-09-30,0.297961,0.218869,0.065630,0.067524,0.067904
sh.600000,2016-04-07,2015-12-31,0.211405,0.202203,0.076795,0.057120,0.076086
sh.600000,2016-04-30,2016-03-31,0.203598,0.228571,0.241047,0.160000,0.243702
sh.600000,2016-08-11,2016-06-30,0.209124,0.166724,0.120783,0.054936,0.119943
sh.600000,2016-10-29,2016-09-30,0.198311,0.153786,0.097745,0.034235,0.094720
sh.600000,2017-04-01,2016-12-31,0.167456,0.161153,0.052572,-0.007432,0.049304
sh.600000,2017-04-27,2017-03-31,0.106050,0.126566,0.043605,0.000000,0.038788
sh.600000,2017-08-30,2017-06-30,0.120243,0.101298,0.054808,0.021053,0.052111
sh.600000,2017-10-28,2017-09-30,0.159937,0.089779,0.030580,0.006944,0.029743
sh.600000,2018-04-28,2017-12-31,0.156156,0.047800,0.024666,-0.005405,0.021827
sh.600000,2018-04-28,2018-03-31,0.126714,0.041315,-0.012835,-0.061224,-0.010856
sh.600000,2018-08-30,2018-06-30,0.139222,0.029814,0.013253,-0.020619,0.014344
sh.600000,2018-10-31,2018-09-30,0.091073,0.004181,0.029908,-0.006897,0.031390
sh.600000,2019-03-26,2018-12-31,0.108504,0.024826,0.027508,0.005435,0.030521
sh.600000,2019-04-30,2019-03-31,0.140998,0.067925,0.149803,0.152174,0.150577
sh.600000,2019-08-24,2019-06-30,0.117748,0.093265,0.121488,0.126316,0.123806
sh.600000,2019-10-30,2019-09-30,0.186028,0.115201,0.119091,0.125000,0.119032
sh.600000,2020-04-25,2019-12-31,0.174524,0.113890,0.052924,0.054054,0.053600
sh.600000,2020-04-25,2020-03-31,0.177756,0.114666,0.054436,0.056604,0.054803
sh.600000,2020-08-29,2020-06-30,0.146376,0.129310,-0.097405,-0.102804,-0.098144
sh.600000,2020-10-31,2020-09-30,0.060865,0.130150,-0.075188,-0.104938,-0.074623
sh.600000,2021-03-27,2020-12-31,0.152269,0.134784,-0.008621,-0.035897,-0.009947
sh.600000,2021-04-30,2021-03-31,0.139439,0.104979,0.075699,0.089286,0.076954
sh.600000,2021-08-28,2021-06-30,0.155231,0.080044,0.032474,0.031250,0.030496
sh.600000,2021-10-30,2021-09-30,0.156343,0.050805,-0.067736,-0.075862,-0.071655
sh.600000,2022-04-28,2021-12-31,0.049844,0.023463,-0.088604,-0.138298,-0.091247
sh.600000,2022-04-28,2022-03-31,0.048268,0.044140,0.039243,0.049180,0.036958
sh.600000,2022-08-27,2022-06-30,0.050124,0.047130,0.012978,0.010101,0.011261
sh.600000,2022-10-29,2022-09-30,0.044510,0.044760,-0.023950,-0.022388,-0.025857
sh.600000,2023-04-19,2022-12-31,0.041589,0.069794,-0.032902,-0.037037,-0.034564
sh.600000,2023-04-29,2023-03-31,0.038595,0.052162,-0.175894,-0.203125,-0.183464
sh.600009,2013-04-27,2013-03-31,0.030570,0.034941,0.162282,0.157895,0.152028
sh.600009,2013-08-29,2013-06-30,0.067262,0.044055,0.183565,0.179487,0.182943
sh.600009,2013-10-30,2013-09-30,0.075110,0.070160,0.234989,0.245902,0.244157
sh.600009,2014-03-29,2013-12-31,0.073479,0.077773,0.177297,0.182927,0.184557
sh.600009,2014-04-29,2014-03-31,0.076856,0.074942,0.192946,0.181818,0.202645
sh.600009,2014-08-16,2014-06-30,0.089584,0.074462,0.141078,0.152174,0.151705
sh.600009,2014-10-30,2014-09-30,0.085296,0.096592,0.072024,0.078947,0.079040
