date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2012-06-11,sh.600570,137.1357575200,139.8110938300,136.2439787500,139.1174881200,137.2348440500,1761529,24630262.0000,1,0.282409,1,1.371800,35.621874,7.087266,8.495853,-125.969041,0
2012-06-12,sh.600570,138.7211420000,141.0001321900,138.0275362900,138.9193150600,139.1174881200,2033557,28721148.0000,1,0.326021,1,-0.142500,35.571131,7.077170,8.483751,-125.789598,0
2012-06-13,sh.600570,138.9193150600,144.1709011500,138.9193150600,143.6754685000,138.9193150600,3686681,52931156.0000,1,0.591051,1,3.423700,36.788973,7.319470,8.774208,-130.096232,0
2012-06-14,sh.600570,142.6846032000,144.6663338000,139.7120073000,141.9909974900,143.6754685000,2554347,36726549.0000,1,0.409514,1,-1.172400,36.357654,7.233655,8.671338,-128.570966,0
2012-06-15,sh.600570,141.1983052500,142.4864301400,139.8110938300,141.6937379000,141.9909974900,2100111,30022735.0000,1,0.336691,1,-0.209400,36.281539,7.218512,8.653184,-128.301801,0
2012-06-18,sh.600570,140.9962317000,142.9891113000,139.6012159800,142.5905353800,141.6937395600,1806647,25567288.0000,1,0.289643,1,0.632900,36.306910,7.223559,8.659235,-128.391523,0
2012-06-19,sh.600570,141.0958756800,143.4873312000,141.0958756800,142.3912474200,142.5905353800,1057922,15135875.0000,1,0.169607,1,-0.139800,36.256167,7.213464,8.647133,-128.212080,0
2012-06-20,sh.600570,142.5905353800,145.9784307000,142.1919594600,143.1883992600,142.3912474200,3546322,51363894.0000,1,0.568548,1,0.559800,36.459141,7.253847,8.695542,-128.929852,0
2012-06-21,sh.600570,142.7898233400,143.3876872200,139.0033521000,139.5015720000,143.1883992600,3715193,52542484.0000,1,0.595622,1,-2.574800,35.520388,7.067074,8.471649,-125.610155,0
2012-06-25,sh.600570,139.3022840400,140.8965877200,133.3236452400,136.6118965800,139.5015720000,2539852,34691483.0000,1,0.407190,1,-2.071400,34.784608,6.920685,8.296165,-123.008230,0
2012-06-26,sh.600570,134.7186609600,139.2026400600,133.0247133000,138.3058442400,136.6118965800,1154643,15731019.0000,1,0.185113,1,1.240000,35.215927,7.006499,8.399035,-124.533497,0
2012-06-27,sh.600570,138.1065562800,140.3983678200,135.5158128000,138.6047761800,138.3058442400,1660621,23078081.0000,1,0.266232,1,0.216100,35.292042,7.021643,8.417188,-124.802661,0
2012-06-28,sh.600570,138.9037081200,141.3948076200,136.6118965800,136.7115405600,138.6047761800,1213819,17021335.0000,1,0.194600,1,-1.365900,34.809980,6.925733,8.302216,-123.097952,0
2012-06-29,sh.600570,136.2133206600,138.1065562800,134.7186609600,136.7115405600,136.7115405600,1924676,26241622.0000,1,0.308565,1,0.000000,34.809980,6.925733,8.302216,-123.097952,0
2012-07-02,sh.600570,137.2097604600,138.9037081200,133.3236452400,137.7079803600,136.7115405600,2842163,38923281.0000,1,0.455657,1,0.728900,35.063697,6.976212,8.362727,-123.995167,0
