date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2012-06-11,sz.000008,27.1523492800,27.7643899400,27.1523492800,27.6809298500,27.3470894900,314467,3111340.4700,1,0.426957,1,1.220800,-2489.807510,9.925885,56.540756,49.604660,1
2012-06-12,sz.000008,27.5974697600,28.5433507800,27.5418297000,28.0425902400,27.6809298500,497510,5018007.7700,1,0.675477,1,1.306500,-2522.337658,10.055570,57.279480,50.252761,1
2012-06-13,sz.000008,28.2651504800,28.7937310500,27.8200300000,28.5989908400,28.0425902400,656324,6727415.9600,1,0.891101,1,1.984100,-2572.384040,10.255085,58.415977,51.249840,1
2012-06-14,sz.000008,28.7380909900,28.7380909900,27.9869501800,28.0704102700,28.5989908400,610205,6206224.2000,1,0.828485,1,-1.848200,-2524.839977,10.065546,57.336305,50.302615,1
2012-06-15,sz.000008,27.9591301500,28.4320706600,27.9034900900,28.2929705100,28.0704102700,319813,3224921.4800,1,0.434215,1,0.792900,-2544.858530,10.145352,57.790904,50.701447,1
2012-06-18,sz.000008,28.0982303000,28.4598906900,28.0425902400,28.1538703600,28.2929705100,311799,3159785.9100,1,0.423334,1,-0.491600,-2532.346935,10.095473,57.506779,50.452177,1
2012-06-19,sz.000008,27.8756700600,28.6268108700,27.8756700600,28.1816903900,28.1538703600,387402,3939799.8100,1,0.525982,1,0.098800,-2534.849254,10.105449,57.563604,50.502031,1
2012-06-20,sz.000008,28.4877107200,29.6005119200,28.3207905400,29.6005119200,28.1816903900,1391784,14694910.7700,1,1.889647,1,5.034600,-2662.467528,10.614213,60.461673,53.044581,1
2012-06-21,sz.000008,29.9899923400,30.0456324000,28.7937310500,29.3501316500,29.6005119200,1089290,11449781.0100,1,1.478946,1,-0.845900,-2639.946656,10.524431,59.950249,52.595896,1
2012-06-25,sz.000008,29.3501316500,30.7411331500,28.3764306000,30.0456324000,29.3501316500,1125016,12112048.0200,1,1.527452,1,2.369700,-2702.504634,10.773825,61.370871,53.842244,1
2012-06-26,sz.000008,29.4335917400,30.8245932400,29.4335917400,30.5742129700,30.0456324000,855220,9343422.3800,1,1.161146,1,1.759300,-2750.048697,10.963364,62.450544,54.789469,1
2012-06-27,sz.000008,30.6576730600,32.1043146200,30.6020330000,32.1043146200,30.5742129700,1394259,15874627.0600,1,1.893007,1,5.004500,-2887.676248,11.512031,65.575912,57.531435,1
2012-06-28,sz.000008,32.4937950400,33.6344162700,31.1584336000,31.1584336000,32.1043146200,2538284,30036483.4000,1,3.446268,1,-2.946300,-2802.597398,11.172855,63.643867,55.836401,1
2012-06-29,sz.000008,30.2960126700,32.3825149200,29.6005119200,31.7982942900,31.1584336000,1736239,19066225.8000,1,2.357319,1,2.053600,-2860.150737,11.402298,64.950839,56.983042,1
2012-07-02,sz.000008,31.6035540800,32.9667355500,31.6035540800,32.9667355500,31.7982942900,861016,10003771.8800,1,1.169015,1,3.674500,-2965.248140,11.821280,67.337484,59.076907,1
2012-07-03,sz.000008,32.9110954900,33.2449358500,31.9930345000,32.2434147700,32.9667355500,841111,9879729.8300,1,1.141990,1,-2.194100,-2900.187843,11.561910,65.860037,57.780705,1
2012-07-04,sz.000008,32.2434147700,32.6885352500,31.1584336000,31.6035540800,32.2434147700,721062,8227275.9500,1,0.978997,1,-1.984500,-2842.634504,11.332468,64.553065,56.634064,1
2012-07-05,sz.000008,31.6870141700,31.7426542300,30.1012724600,30.9915134200,31.6035540800,658122,7314139.5300,1,0.893543,1,-1.936600,-2787.583483,11.113001,63.302917,55.537278,1
2012-07-06,sz.000008,30.9915134200,30.9915134200,30.9915134200,30.9915134200,30.9915134200,0,0.0000,1,,0,0.000000,-2787.583483,11.113001,63.302917,55.537278,1
2012-07-09,sz.000008,30.6854930900,32.2155947400,30.6020330000,31.0193334500,30.9915134200,617231,6922288.3200,1,0.838024,1,0.089800,-2790.085803,11.122977,63.359742,55.587132,1
2012-07-10,sz.000008,31.0193334500,31.1306135700,29.4614117700,29.4892318000,31.0193334500,800440,8574781.8200,1,1.086770,1,-4.932700,-2652.458252,10.574310,60.234374,52.845165,1
2012-07-11,sz.000008,29.0162912900,29.4892318000,28.0425902400,29.1275714100,29.4892318000,445642,4605033.6400,1,0.605055,1,-1.226400,-2619.928103,10.444625,59.495650,52.197064,1
2012-07-12,sz.000008,28.8493711100,29.9621723100,28.8493711100,29.8230721600,29.1275714100,466261,4969256.5700,1,0.633050,1,2.387800,-2682.486081,10.694019,60.916272,53.443413,1
